accession,name,Study Disease/Focus,Release Date,Ancestry (computed),Related Terms,description,principal_investigator,cited_publications,funding_source,study_type,external_study_url,gene_keywords,disease_keywords,participant_count,sample_count,limitations_for_reuse,assay_method,dbGaP_URL,gpa,doc,dataset_uuid,dataset_source_repo
phs002050,OICR: Molecular Pathological Epidemiology of Colorectal Cancer,Colorectal Neoplasms,2022-01-12,,"CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal","<p>Colorectal cancer, the second most commonly diagnosed cancer, is a biologically heterogeneous disease. To characterize the molecular attributes of colorectal tumors, we conducted targeted sequencing at the Ontario Cancer Research Institution (OICR) of tumor and matched normal DNA samples from 2,542 colorectal cancer cases in the Genetics and Epidemiology of Colorectal Cancer Consortium (GECCO) [<a href=""./study.cgi?study_id=phs001078"">phs001078</a>] and the Colon Cancer Family Registry (CCFR). These consortia are based on cohort and population-based case-control studies.</p>","Ulrike Peters, PhD, MPH",32686686,U01CA137088,Case Set,"https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html""",,,2528.0,5056.0,HMB-IRB-COL;DS-CC-NPU-GSO;HMB-IRB;HMB-IRB-NPU;GRU;DS-CC-MDS,Seq_DNA_SNP;WXS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002050,nan,nan,7f1e2c71-c612-47b5-8590-8a1844dba1dd,dbGaP
phs002309,Identification and Characterization of Skin-Resident Memory T cells in    Patients with Melanoma-Associated Vitiligo,Melanoma,2021-12-27,,"Vitiligo; Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma, Malignant","<p>Metastatic melanoma patients who develop melanoma-associated vitiligo, an autoimmune cutaneous side effect after receiving immunotherapy, have better overall survival than those who do not develop vitiligo. The objective of this study is to determine the tumor-specific memory T cell responses in the skin, tumor and blood of melanoma patients with vitiligo. Matched melanoma tumor, distant vitiligo-affected skin, and blood were collected and sorted for T cells to perform paralleled single-cell RNA sequencing (scRNA-seq) and single-cell TCR sequencing (scTCR-seq) on the day of tissue collection. The transcriptional analysis identified three resident memory T (TRM) cell subsets which were shared between tumors and vitiligo-affected skin. scRNA-seq identified CD8+ T-cell clonotypes in tumors that co-existed as TRM in skin and as effector memory T (TEM) cells in blood. This study revealed that long-term melanoma survivors maintained memory T cell responses as broadly-distributed TRM and TEM compartments.&#160;</p><p></p><div><br></div><p></p>","Mary Jo Turk, PhD;Christina V. Angeles, MD",,R01 #CA225028;National Institute of General Medical Sciences #P20GM130454;5P30 #CA023108-40 (Immune Monitoring and Genomics and Molecular Biology Shared Resources),Cohort;Single Cell Analysis;Tumor vs. Matched-Normal,,,Vitiligo,5.0,32.0,GRU,RNA-Seq;Seq_RNA_Expression_SC;Targeted-Capture,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002309,nan,nan,cb14280e-b882-4ea6-88a7-1a2ad348be10,dbGaP
phs001999,Advanced Genetic and Molecular Analysis of Solid Tumors,"Carcinoma, Pancreatic Ductal",2021-12-23,,"Carcinoma, Ductal, Pancreatic; Carcinoma, Pancreas Duct-Cell; Carcinomas, Pancreas Duct-Cell; Carcinomas, Pancreatic Ductal; Duct Cell Carcinoma of the Pancreas; Duct Cell Carcinoma, Pancreas",<p>This study is designed to understand the role of immunosuppressive regulatory B cells (Breg) in pancreatic cancer. Breg and conventional B cells (Bcon) from patients are compared by RNA sequencing analysis. Bregs and Bcon were isolated from freshly isolated PBMCs in peripheral blood. These data represent the examination of differentially expressed genes in these two blood-derived B cell subsets from both healthy and pancreatic cancer patients.</p>,Yuliya Pylayeva-Gupta,32024640;29980536,R37 CA230786;13-70-25-PYLA;V2016-016,Case-Control,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144504,IL12A;EBI3,"B-Lymphocytes, Regulatory",1.0,2.0,DS-CA,RNA-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001999,nan,nan,878ef193-1a8b-483b-9488-6c3cdfbb5227,dbGaP
phs002541,Integrated Genomic and Transcriptomic Analysis of Small Cell Lung Cancer    Reveals Inter- and Intratumoral Heterogeneity and a Novel    Chemotherapy-Refractory Subtype,Small Cell Lung Carcinoma,2021-12-08,,"Carcinoma, Small Cell Lung; Lung Small Cell Neuroendocrine Carcinoma; Lung oat cell carcinoma; Oat Cell Carcinoma of Lung; Oat Cell Lung Cancer; SCCL","We integrated histology, transcriptome, exome, and treatment outcomes of small cell neuroendocrine cancer (SCNC) from a range of metastatic sites, revealing complex intra- and intertumoral heterogeneity of neuroendocrine (NE) differentiation and transcriptomic subtypes (ASCL1, NEUROD1, POU2F3, YAP1 and ATOH1). High NE SCNCs were more likely to benefit from replication stress-targeted therapies, in contrast to non-NE tumors which were more likely to respond to immune response-targeted therapies.",Anish Thomas,31063862;33848478,,Cross-Sectional,,ASCL1;INSM1;MYC;MYCL;MYCN;NEUROD1;YAP1;POU2F3,,72.0,168.0,GRU,RNA-Seq;WXS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002541,nan,nan,d49f601d-1879-4828-8369-bbc98d8ab674,dbGaP
phs002612,Immunogenomics of Malignant Brain Tumors,Genetic Heterogeneity,2021-12-07,,Brain Neoplasms; Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour; Neoplasm of Brain,"We performed systematic and comprehensive multi-sector immunogenomic analyses on 93 samples from a cohort of 30 patients with primary or recurrent gliomas or metastatic brain tumors, representing the largest cohort of these brain cancers studied spatially to date. For each patient, we characterized multiple spatially distinct regions using whole-exome (WES), custom capture validation, RNA, and TCR-sequencing. Our findings underscore the significant differences in clonal architecture between gliomas and metastatic brain tumors which translates into distinct neoantigen landscapes and, in turn, tumor infiltrating T cell clonotypic diversity. These data therefore provide high resolution insights into the immunogenomic landscapes within malignant brain tumors which may inform tumor-specific therapeutic approaches.",Gavin Dunn;Malachi Griffith,34610950,,Exome Sequencing;Metastasis;RNA Sequencing;Transcriptome Analysis;Tumor vs. Matched-Normal,,,Glioblastoma Multiforme;Brain Neoplasms,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002612,nan,nan,6fef4a40-df11-44f5-8e06-fec3ac5e22f2,dbGaP
phs002639,Genomic Analysis of Metastatic Brain Cancer,Neoplasm Metastasis,2021-12-02,,Brain Neoplasms; Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour; Neoplasm of Brain,"<p>This study contains targeted exome and transcriptome sequencing of metastatic brain tumors from 68 patients. Sequencing data includes i) targeted Tempus xT exome sequencing from matched tumor/normal from 68 patients, and ii) whole-transcriptome RNA sequencing from a subset of 65 patients.</p>","Analiz Rodriguez, MD, PhD",,,RNA Sequencing;Tumor vs. Matched-Normal,,BRAF;CDKN2A;KRAS;SMAD4;MCL1;NFE2L2;NRAS;PIK3CA;PTEN;RB1;STK11;TP53;VHL;ARID1A;KEAP1;PBRM1;C8orf34;ARID2,Brain Neoplasms,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002639,nan,nan,0e408779-4c13-4ebf-9e96-a2f49675cb27,dbGaP
phs002066,Mechanisms of Extreme Genomic Instability at Large Transcribed Genes,Chromosome Fragile Sites,2021-11-22,,"Genomic Instability; Genome Instabilities; Genome Instability; Genomic Instabilities; Instabilities, Genome; Instabilities, Genomic","<p>Inhibiting DNA replication leads to copy number variant (CNV) formation throughout the genome, especially at chromosome fragile sites (CFSs). We previously showed that these hotspots for genome instability reside in late-replicating domains associated with large transcribed genes. In this study, we compared aphidicolin (APH)-induced CNV and CFS frequency between wild-type cells and isogenic cells in which FHIT gene transcription was ablated. We further examined the impact of altering RNase H1 expression on CNV or CFS induction frequency and analyzed R-loop formation genome-wide in a human fibroblast cell line. Data sets include Bru-seq nascent RNA transcription, whole genome sequencing for replication timing, SNP microarray analysis, and DRIP-seq. Results suggest that large gene transcription is a determining factor in replication stress-induced genomic instability and that CFSs mainly result from transcription-dependent passage of unreplicated DNA into mitosis with low R-loop levels observed at these loci.</p>","Thomas E. Wilson, MD, PhD;Thomas W. Glover, PhD",25373142,R01 CA200731,Case-Control,,FHIT,DNA Copy Number Variations;Genomic Instability,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002066,nan,nan,97931ce4-8ada-48e2-9507-c767c8c1c5b4,dbGaP
phs001689,Multiethnic Cohort Adiposity Phenotype Study (MEC-APS),Intra-Abdominal Fat,2021-11-22,"European (412), African (14), East Asian (438), African American (293), Hispanic1 (12), Hispanic2 (370), Other Asian or Pacific Islander (241), Other (69)",Not Provided,"<p>A total of 1,861 healthy men and postmenopausal women aged 60-77 years with body mass indexes (BMIs) of 17.1-46.2 kg/m<sup>2</sup> were enrolled into the study. Stratified sampling was conducted based on sex, race/ethnicity, and six BMI categories (18.5-21.9, 22-24.9, 25-26.9, 27-29.9, 30-34.9, and 35-40 kg/m<sup>2</sup>) to balance the sample size across the wide range of BMI and optimize adjustment for total adiposity in populations with different BMI distributions. Study participants underwent body composition assessment, in person interview, blood collection, and completed a self-administered questionnaire. A genome-wide association study of obesity phenotypes was conducted among five racial/ethnic groups of the Multiethnic Cohort Study.</p>",Loic Le Marchand,,P01 CA168530,Cross-Sectional,,,Obesity,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001689,nan,nan,6b73bdc2-cc99-44b3-bb72-746a4180e019,dbGaP
phs002587,Preclinical Modeling of Leiomyosarcoma Identifies Susceptibility to    Transcriptional CDK Inhibitors through Antagonism of E2F-Driven    Oncogenic Gene Expression,Leiomyosarcoma,2021-11-18,,"Epithelioid Leiomyosarcomas; Leiomyosarcoma, Epithelioid; Leiomyosarcomas, Epithelioid; epithelioid leiomyosarcoma","Leiomyosarcoma (LMS) is a smooth muscle-derived mesenchymal cancer commonly found to have recurrent loss of tumor suppressor genes and a poorly defined oncogenic program. Empiric cytotoxic chemotherapy is the standard systemic treatment for LMS, and while more targeted and effective therapies are urgently needed, insights into therapeutic vulnerabilities in LMS have been limited by available preclinical models. We generated a panel of LMS patient-derived xenograft (PDX) models and evaluated fidelity to their tumors of origin using RNA sequencing and ultra-low passage whole-genome sequencing (ULP-WGS). Data available at dbGaP include RNA sequencing and ULP-WGS of primary tumors and early and late passages of PDX.&nbsp;",,,,RNA Sequencing,,,,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002587,nan,nan,15763626-42f8-4cb7-bb6a-0f8838afa0b7,dbGaP
phs002441,High-Throughput and High-Dimensional Single Cell Analysis of    Antigen-Specific CD8+ T Cells,"Diabetes Mellitus, Type 1",2021-11-18,,"DIABETES MELLITUS, INSULIN-DEPENDENT; DIABETES MELLITUS, INSULIN-DEPENDENT, 1; Diabetes Mellitus, Insulin Dependent; Diabetes Mellitus, Juvenile Onset; Diabetes Mellitus, Juvenile-Onset; Diabetes Mellitus, Sudden Onset","<p>We developed a high-dimensional, tetramer associated T cell receptor sequencing (TetTCR-SeqHD) method to simultaneously profile cognate antigen specificities, TCR sequences, targeted gene-expression, and surface protein expression. Cultured antigen-specific CD8+ T cell clones were studied as a proof-of-concept experiment. In addition, both the antigen specific CD8+ T cells from healthy subjects and Type I diabetic patients were investigated.&nbsp;</p><ul><li>18 individually consented subjects pooled into four groups for sample processing<br></li></ul>","Ning Jiang, PhD",,"S10OD020072;R33CA225539;R56AG064801;1653866;F1785;Robert J. Kleberg, Jr. and Helen C. Kleberg Foundation;191856",Cohort,,PTPRC;GNLY;B3GAT1,,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002441,nan,nan,1f2cc695-c665-4d77-8d08-e8dd358d586e,dbGaP
phs002064,Metagenomic Analysis to Identify Novel Infectious Agents in Systemic    Anaplastic Large Cell Lymphoma,"Lymphoma, Large-Cell, Anaplastic",2021-11-17,,"ALCL; Anaplastic Large-Cell Lymphoma; Anaplastic Large-Cell Lymphomas; Anaplastic large cell lymphoma (ALCL) CD30+; Anaplastic large cell lymphoma CD30 positive; Anaplastic large cell lymphoma, CD30+","<p>Anaplastic large cell lymphoma (ALCL) is a rare T-cell non-Hodgkin lymphoma (NHL). Risk of systemic ALCL is markedly increased among immunosuppressed people, such as those with human immunodeficiency virus (HIV) infection or solid organ transplant recipients. This increased risk in immunosuppressed populations suggests a viral etiology, given similar elevations for diffuse large B-cell lymphoma (DLBCL), Burkitt lymphoma, and Hodgkin lymphoma (caused by Epstein-Barr virus [EBV]) and other virus-related cancers in immunosuppressed individuals. EBV might be a plausible candidate, but most reported ALCL tumors are EBV-negative. Therefore, we conducted a metagenomic analysis of microbial associations with ALCL to determine whether a known or novel pathogen is associated with the tumor. </p> <p> We obtained archived formal fixed paraffin embedded (FFPE) ALCL tumor tissue from the Iowa cancer registry and an additional case from an immunosuppressed individual infected with human immunodeficiency virus. Controls included 3 diffuse large B-cell lymphomas (DLBCLs) in transplant recipients (shown to be related to Epstein-Barr virus [EBV] by in situ hybridization) and 3 breast cancers (no known viral etiology). RNA was extracted from FFPE specimens, and total RNA libraries were prepared using the KAPA RNA HyperPrep Kit (Roche). Five samples (IA01, IA53, IA57, IA07, and IA17) were sequenced on a NextSeq 500 (Illumina) and the remainder on a NovSeq 6000 (Illumina). Using novel computational approaches, we eliminated human reads and aligned residual non-human reads to known microbial references using GATK-PathSeq or conducted de novo assembly of unassigned reads using virID pipeline. </p> <p> Although EBV was detected in the 3 DLBCL controls, we did not detect EBV or any novel pathogen in ALCL tumors or in the breast cancers. Our study had a modest sample size and only one case arising in HIV-infected individual. Therefore, further studies are required to characterize the metagenome of systemic ALCLs, especially cases arising in immunosuppressed people.</p>","Eric A. Engels, MD, MPH",34775986,Intramural Research Program,Case-Control,,,,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002064,nan,nan,40aa6144-b0d2-409b-afb6-f40f6a2f79e1,dbGaP
phs001938,Genomic and Genetic Characterization of Prostate Tumors Treated with    Neoadjuvant Intense Androgen Deprivation Therapy,Prostatic Neoplasms,2021-11-15,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate","<p>The purpose of this study was to develop better ways of detecting prostate cancer before and after pre-operative treatment, and to test the feasibility of multi parametric magnetic resonance imaging (mpMRI) for the localization and detection of focal prostate cancer both before and after pre-operative treatment with ADT and enzalutamide. In this study, patients with intermediate and high risk prostate cancer received six months of neoadjuvant intense androgen deprivation therapy prior to radical prostatectomy. Biopsies were acquired prior to treatment. Tissue from biopsy and radical prostatectomy were subjected to sequencing and analysis for determination of features associated with response or resistance to treatment.</p>","William Dahut, MD",32054861;31000430;33023952;34415294;33785256,,Case Set,,AR;ERG;PTEN;TP53,"Receptors, Androgen;MDV 3100;Magnetic Resonance Imaging",,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001938,nan,nan,56086bff-3d4d-4a37-9a94-c8f2b7ff593c,dbGaP
phs002457,Comprehensive Analysis of the Immunogenomics of Triple Negative Breast    Cancer Brain Metastases from LCCC1419,Triple Negative Breast Neoplasms,2021-11-10,,Neoplasm Metastasis; Brain Neoplasms; Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour,"Triple negative breast cancer (TNBC) is an aggressive subset of breast cancer that lacks expression of the estrogen and progesterone receptors (ER and PR) and HER2. Nearly 50% of patients with advanced TNBC will develop brain metastases (BrM), commonly with progressive extracranial disease. Immunotherapy has shown promise in the treatment of advanced TNBC; however, the immunogenomics of BrM remains largely unknown. Thus, we conducted a comprehensive analysis of TNBC BrM and matched primary tumors to characterize the genomic and immune landscape of TNBC BrM to foster the development of immunotherapy strategies in this aggressive and clinically unmet disease.&#160;&#160;","Carey K. Anders, MD","14737219;31061481;33177107;19706884;24157944;24888378;31159741;29069305;25516281;16199517;23323831;25822800;25924071;27559159;28263959;24891321;19505943;30357393;24884790;28978689;38340557;17158513;No PMID: forestplot: Advanced Forest Plot Using 'grid' Graphics | Max Gordon M, Lumley T.;39584644",,Tumor vs. Matched-Normal,,TP53,Brain Neoplasms;Neoplasm Metastasis,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002457,nan,nan,07debc30-d3b0-4e57-9f57-b73f1e564dcc,dbGaP
phs002238,Genomic Profiling of Relapsed and Refractory Childhood Cancers,Neoplasms,2021-11-09,,"Desmoplastic Small Round Cell Tumor; Hepatoblastoma; Sarcoma; Sarcoma, Ewing; Brain Neoplasms; Brain Tumor","Through clinical trials focused on molecularly guided therapy in pediatric cancers (<a href=""https://clinicaltrials.gov/ct2/show/NCT01355679"" target=""_blank"">NCT01355679</a>, <a href=""https://clinicaltrials.gov/ct2/show/NCT01802567"" target=""_blank"">NCT01802567</a>, <a href=""https://clinicaltrials.gov/ct2/show/NCT02162732"" target=""_blank"">NCT02162732</a>), the Beat Childhood Cancer Consortium performed paired tumor/normal whole exome sequencing and/or tumor mRNA sequencing for 202 pediatric or adolescent young adult patients with rare, relapsed and refractory cancers (including neuroblastoma, Ewing sarcoma, osteosarcoma, rhabdomyosarcoma, ependymoma, glioma, and other rare solid tumors). A subset of these patients had multiple biopsies sequenced, including longitudinal profiling.",Jeffrey M. Trent;Giselle L. Saulnier Sholler,34610968,,Cohort;Exome Sequencing;Transcriptome Sequencing;Tumor vs. Matched-Normal,,,"Neuroblastoma;Osteosarcoma;Rhabdomyosarcoma;Brain Neoplasms;Sarcoma;Wilms Tumor;Hepatoblastoma;Desmoplastic Small Round Cell Tumor;Ependymoma;Glioblastoma;Sarcoma, Ewing",,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002238,nan,nan,ba73f7a1-46ba-4375-96ef-732e8dc0ecd5,dbGaP
phs002340,A Multi-Omic Single-Cell Atlas of Human Gynecological Malignancies,"Carcinoma, Ovarian Epithelial",2021-11-04,,"Cancer, Epithelial Ovarian; Cancer, Ovarian Epithelial; Carcinoma of Ovary; Carcinoma of the Ovary; Carcinoma, Epithelial Ovarian; Epithelial Cancer, Ovarian","Matched single-cell transcriptomic sequencing (scRNA-seq) and single-cell chromatin accessibility sequencing (scATAC-seq) were performed for 11 fresh human tumors collected from the endometrium or ovary. More detailed information for each patient tumor will be provided in selected phenotype/attributes data. Both scRNA-seq and scATAC-seq assays revealed the underlying cellular heterogeneity in transcriptional output and in chromatin accessibility for each patient tumor specimen. In this work, we identified potential non-coding regulatory elements that mediate cell type-specific gene expression patterns. These data will serve as an important reference for the single-cell genomics and gynecologic oncology research communities.",Hector L. Franco,"No PMID: A multi-omic single-cell atlas of human gynecologic malignancies  | Matthew J. Regner, Kamila Wisniewska, Susana Garcia-Recio, Aatish Thennavan, Raul Mendez-Giraldez, Venkat S. Malladi,Gabrielle Hawkins, Joel Parker, Charles M. Perou, Victoria L. Bae-Jump, Hector L. Franco* ",5-P50-CA058223-25;CCR19608601;V2019-015,Case Set,,CLDN4;RHEB;LAPTM4B,"Carcinoma, Endometrioid;Gastrointestinal Stromal Tumors",,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002340,nan,nan,de8c5f31-d24a-4d16-85f4-0e67d2bbba4c,dbGaP
phs002346,Characterization of Immune-Related Gene Expression in Lung Cancer,Lung Neoplasms,2021-11-03,,Lung Tumor; Lung cancer; Lung neoplasm; Lung tumour; Neoplasm of Lung; Neoplasm of the Lung,We performed a comprehensive analysis of inter- and intratumor heterogeneity of immune gene expression in 160 lung cancer patients from the Environment And Genetics in Lung cancer Etiology (EAGLE) study. The transcriptome was profiled with RNA sequencing in 269 tumor samples and 110 normal tissue samples from 160 subjects.,"Maria Teresa Landi, MD, PhD",,"Intramural program, NCI, DCEG",Case Set,https://dceg.cancer.gov/research/who-we-study/cancer-cases-controls/eagle-study,,,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002346,nan,nan,644af2ae-3072-4cee-93ac-51cc5623229e,dbGaP
phs002407,A Single Cell Atlas of MMRd and MMRp Colorectal Cancer,Colorectal Neoplasms,2021-10-27,,Microsatellite Instability; CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine,"<p>Immune responses to cancer vary across cancer types and patients. Colorectal cancer tumors with mismatch repair-deficiency (MMRd) show an elevated immune cell activity as compared to mismatch repair proficient (MMRp) tumors. To understand the immune response patterns in these two types of colorectal cancer, we transcriptionally profiled 371,223 tumor and adjacent normal cells from 28 MMRp and 34 MMRd patients. Unsupervised analysis identified 88 cell subsets, from 7 distinct cell clusters (that contain epithelial, malignant, stromal and immune cell lineages), and an associated compendium of 204 gene expression programs. Examination of these cell subsets and programs revealed extensive transcriptional and spatial remodeling of malignant, stromal and immune cells in MMRd and MMRp tumors. This dataset was generated as part of a published study (Pelka, Hofree, Chen, et al., <i>Cell</i> 2021 Sep 2;184(18):4734-4752; PMID: <a href=""https://pubmed.ncbi.nlm.nih.gov/34450029/"" target=""_blank"">34450029</a>).</p>",Nir Hacohen;Aviv Regev,34450029,"NIH/NCI R01CA208756;Arthur, Sandra and Sarah Irving Fund for Gastrointestinal Immuno-Oncology;NIH/NCi HTAPP HHSN261201500003;Evergrande Center for Immunologic Diseases;Klarman Cell Observatory",Case Set;RNA Sequencing;Single Cell Analysis;Tumor vs. Matched-Normal,https://singlecell.broadinstitute.org/single_cell/study/SCP1162,CXCR3;CXCL1;IFNG;IL1B;IL17;CXCL10;CXCL9;CXCL11;CXCL14;CXCL13;RSPO3,Microsatellite Instability;DNA Mismatch Repair,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002407,nan,nan,0dce4631-6f6d-4d07-805d-f21fcb2493b2,dbGaP
phs002434,Mentored Patient Oriented Research in Lymphoma,"Lymphoma, Large B-Cell, Diffuse",2021-10-18,,Centroblastic diffuse large B-cell malignant lymphoma; Centroblastic diffuse malignant lymphoma; Centroblastic malignant lymphoma; DLBCL; DLBCL - diffuse large B cell lymphoma; Diffuse Histiocytic Lymphoma,"<p>Significant racial differences have been observed in the incidence and clinical outcomes of diffuse large B-cell lymphoma (DLBCL) in the United States, but to the authors' knowledge it remains unclear whether genomic differences contribute to these disparities. To understand the influences of genetic ancestry on tumor genomic alterations, the authors estimated the genetic ancestry of 1001 previously described patients (Illumina HiSeq 2500 platform) with DLBCL using unsupervised model-based Admixture global ancestry analysis applied to exome sequencing data and examined the mutational profile of DLBCL driver genes in tumors obtained from this cohort. Global ancestry prediction identified 619 patients with &gt;90% European ancestry, 81 patients with &gt;90% African ancestry, and 50 patients with &gt;90% Asian ancestry. Compared with patients with DLBCL with European ancestry, patients with African ancestry were aged &gt;10 years younger at the time of diagnosis and were more likely to present with B symptoms, elevated serum lactate dehydrogenase, extranodal disease, and advanced stage disease. Patients with African ancestry demonstrated worse overall survival compared with patients with European ancestry (median, 4.9 years vs 8.8 years; P=.04). Distinct prevalence and patterns of mutation highlight an important difference in the mutational landscapes of DLBCL arising in different ancestry groups. This study has the potential to identify genes that contribute to increased DLBCL risk in African Americans and may have implications for tailored treatment of DLBCL in African Americans.</p><p>1001 DLBCL genomic data was downloaded from the European Genome-Phenome Archive (EGA) website (<a href=""https://ega-archive.org/datasets/EGAD00001003600"" target=""_blank"">https://ega-archive.org/datasets/EGAD00001003600</a>).&nbsp;</p>","Christopher Flowers, MD",28985567;32469082,K24 CA208132/NIH/NCI,Cohort,,,African Continental Ancestry Group,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002434,nan,nan,1f58c15b-5655-403a-9099-a2863c721c58,dbGaP
phs002344,Study of Tumor Recurrence Related to the Expression of the PAX3-FOXO1    Oncogenic Transcription Factor in Fusion-Positive Rhabdomyosarcoma,Rhabdomyosarcoma,2021-10-14,,Not Provided,"Alveolar rhabdomyosarcoma (ARMS) is a highly aggressive pediatric soft tissue cancer characterized by a recurrent 2;13 chromosome translocation. This translocation generates a <a href=""https://www.ncbi.nlm.nih.gov/gene/5077"">PAX3</a>-<a href=""https://www.ncbi.nlm.nih.gov/gene/2308"">FOXO1</a> (P3F) fusion gene, which encodes a chimeric transcription factor with oncogenic activity.  Using a human myoblast system that models targeted therapy directed against P3F, we demonstrated that the expression of the fibroblast growth factor 8 (<a href=""https://www.ncbi.nlm.nih.gov/gene/2253"">FGF8</a>), a direct transcriptional target of P3F, is necessary and sufficient for PAX3-FOXO1-independent tumor recurrence in addition to be required for the tumorigenic activity of primary tumors expressing P3F.  In addition, we showed that FGF8 is expressed in human rhabdomyosarcoma cell lines that express P3F. We also demonstrated that FGF8 contributes to their proliferation and transformation in vitro, and is sufficient to maintain their oncogenicity after the loss of P3F expression. We suggest that targeting the expression of the PAX3-FOXO1 transcription factor can generate resistance and recommend that additional anticipated therapeutic approaches, such as targeting FGF8 pathway, may avoid this resistance mechanism.","Frederic G. Barr, MD, PhD",,,Case Set,,FGF8;FOXO1;PAX3,,17.0,17.0,GRU,Array_SNP_CNV,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002344,nan,nan,f9d98b20-9599-40c1-aef7-82ad5e9c131f,dbGaP
